AF,AFG,AFG,af,AF,AFG,AFG,AF,AFG,AFN,Kabul,AS
AL,ALB,ALB,aa,AB,AL,ALB,AL,ALB,ALL,Tirana,EU
DZ,DZA,ALG,ae,AL,DZ,ALG,AG,ALG,DZD,Algiers,AF
AS,ASM,SMA,as,,USA,ASA,AQ,ASA,USD,Pago Pago,OC
AD,AND,AND,an,,AND,AND,AN,AND,EUR,Andorra la Vella,EU
AO,AGO,AGL,ao,AN,,ANG,AO,ANG,AOA,Luanda,AF
AI,AIA,AIA,am,,,AIA,AV,AIA,XCD,The Valley,NA
AQ,ATA,,ay,AA,,ROS,AY,,,,AN
AG,ATG,ATG,aq,AT,,ATG,AC,ANT,XCD,St. John's,NA
AR,ARG,ARG,ag,AG,RA,ARG,AR,ARG,ARS,Buenos Aires,SA
AM,ARM,ARM,ai,AY,AM,ARM,AM,ARM,AMD,Yerevan,AS
AW,ABW,ABW,aw,NU,,ARU,AA,ARU,AWG,Oranjestad,NA
AU,AUS,AUS,at,AU,AUS,AUS,AS,AUS,AUD,Canberra,OC
AT,AUT,AUT,au,OS,A,AUT,AU,AUT,EUR,Vienna,EU
AZ,AZE,AZE,aj,AJ,AZ,AZE,AJ,AZE,AZN,Baku,AS
BS,BHS,BAH,bf,BA,BS,BAH,BF,BAH,BSD,Nassau,NA
BH,BHR,BHR,ba,BN,BRN,BHR,BA,BRN,BHD,Manama,AS
BD,BGD,BGD,bg,BW,BD,BAN,BG,BAN,BDT,Dhaka,AS
BB,BRB,BRB,bb,BR,BDS,BRB,BB,BAR,BBD,Bridgetown,NA
BY,BLR,BLR,bw,BY,BY,BLR,BO,BLR,BYR,Minsk,EU
BE,BEL,BEL,be,BX,B,BEL,BE,BEL,EUR,Brussels,EU
BZ,BLZ,BLZ,bh,BH,BZ,BLZ,BH,BIZ,BZD,Belmopan,NA
BJ,BEN,BEN,dm,BJ,DY,BEN,BN,BEN,XOF,Porto-Novo,AF
BM,BMU,BER,bm,BE,,BER,BD,BER,BMD,Hamilton,NA
BT,BTN,BTN,bt,,,BHU,BT,BHU,INR,Thimphu,AS
BO,BOL,BOL,bo,BO,BOL,BOL,BL,BOL,BOB,Sucre,SA
BA,BIH,BIH,bn,BG,BIH,BIH,BK,BIH,BAM,Sarajevo,EU
BW,BWA,BOT,bs,BC,BW,BOT,BC,BOT,BWP,Gaborone,AF
BV,BVT,,bv,BV,,,BV,,,,AN
BR,BRA,B,bl,BZ,BR,BRA,BR,BRA,BRL,Brasilia,SA
IO,IOT,BIO,bi,,,,IO,,,Diego Garcia,AS
VG,VGB,VRG,vb,VI,BVI,VGB,VI,IVB,USD,Road Town,NA
BN,BRN,BRU,bx,BD,BRU,BRU,BX,BRU,BND,Bandar Seri Begawan,AS
BG,BGR,BUL,bu,BU,BG,BUL,BU,BUL,BGN,Sofia,EU
BF,BFA,BFA,uv,HV,BF,BFA,UV,BUR,XOF,Ouagadougou,AF
BI,BDI,BDI,bd,BI,RU,BDI,BY,BDI,BIF,Bujumbura,AF
KH,KHM,CBG,cb,KP,K,CAM,CB,CAM,KHR,Phnom Penh,AS
CM,CMR,CME,cm,CM,CAM,CMR,CM,CMR,XAF,Yaounde,AF
CA,CAN,CAN,xxc,CN,CDN,CAN,CA,CAN,CAD,Ottawa,NA
CV,CPV,CPV,cv,CV,,CPV,CV,CPV,CVE,Praia,AF
BQ,BES,ATN,ca,NU,NA,ANT,NL,AHO,USD,,NA
KY,CYM,CYM,cj,GC,,CAY,CJ,CAY,KYD,George Town,NA
CF,CAF,CAF,cx,CE,RCA,CTA,CT,CAF,XAF,Bangui,AF
TD,TCD,TCD,cd,CD,TCH,CHA,CD,CHA,XAF,N'Djamena,AF
CL,CHL,CHL,cl,CH,RCH,CHI,CI,CHI,CLP,Santiago,SA
CN,CHN,CHN,cc,CI,,CHN,CH,CHN,CNY,Beijing,AS
CX,CXR,CHR,xa,KI,AUS,CXR,KT,,,Flying Fish Cove,AS
CC,CCK,ICO,xb,KK,AUS,CCK,CK,,,West Island,AS
CO,COL,CLM,ck,CO,CO,COL,CO,COL,COP,Bogota,SA
KM,COM,COM,cq,IC,,COM,CN,COM,KMF,Moroni,AF
CG,COG,COG,cf,CG,RCB,CGO,CF,CGO,XAF,Brazzaville,AF
CD,COD,COD,cg,ZR,ZRE,COD,CG,COD,,Kinshasa,AF
CK,COK,CKH,cw,KU,NZ,COK,CW,COK,NZD,Avarua,OC
CR,CRI,CTR,cr,CS,CR,CRC,CS,CRC,CRC,San Jose,NA
HR,HRV,HRV,ci,RH,HR,CRO,HR,CRO,HRK,Zagreb,EU
CU,CUB,CUB,cu,CU,C,CUB,CU,CUB,CUP,Havana,NA
CW,CUW,,co,,,,UC,,ANG,Willemstad,NA
CY,CYP,CYP,cy,CY,CY,CYP,CY,CYP,EUR,Nicosia,EU
CZ,CZE,CZE,xr,CZ,CZ,CZE,EZ,CZE,CZK,Prague,EU
CI,CIV,CTI,iv,IV,CI,CIV,IV,CIV,XOF,Yamoussoukro,AF
DK,DNK,DNK,dk,DN,DK,DEN,DA,DEN,DKK,Copenhagen,EU
DJ,DJI,DJI,ft,DJ,,DJI,DJ,DJI,DJF,Djibouti,AF
DM,DMA,DMA,dq,DO,WD,DMA,DO,DMA,XCD,Roseau,NA
DO,DOM,DOM,dr,DR,DOM,DOM,DR,DOM,DOP,Santo Domingo,NA
EC,ECU,EQA,ec,EQ,EC,ECU,EC,ECU,USD,Quito,SA
EG,EGY,EGY,ua,EG,ET,EGY,EG,EGY,EGP,Cairo,AF
SV,SLV,SLV,es,ES,ES,SLV,ES,ESA,USD,San Salvador,NA
GQ,GNQ,GNE,eg,GQ,,EQG,EK,GEQ,XAF,Malabo,AF
ER,ERI,ERI,ea,,,ERI,ER,ERI,ERN,Asmara,AF
EE,EST,EST,er,EO,EST,EST,EN,EST,EUR,Tallinn,EU
ET,ETH,ETH,et,ET,ETH,ETH,ET,ETH,ETB,Addis Ababa,AF
FK,FLK,FLK,fk,FK,,FLK,FK,FLK,FKP,Stanley,SA
FO,FRO,FRO,fa,FA,FO,FRO,FO,FAR,,Torshavn,EU
FJ,FJI,FJI,fj,FJ,FJI,FIJ,FJ,FIJ,FJD,Suva,OC
FI,FIN,FIN,fi,FI,FIN,FIN,FI,FIN,EUR,Helsinki,EU
FR,FRA,F,fr,FR,F,FRA,FR,FRA,EUR,Paris,EU
GF,GUF,GUF,fg,FG,F,GUF,FG,FGU,EUR,Cayenne,SA
PF,PYF,OCE,fp,PF,F,TAH,FP,FPO,XPF,Papeete,OC
TF,ATF,,fs,,F,,FS,,,Port-aux-Francais,AN
GA,GAB,GAB,go,GO,G,GAB,GB,GAB,XAF,Libreville,AF
GM,GMB,GMB,gm,GB,WAG,GAM,GA,GAM,GMD,Banjul,AF
GE,GEO,GEO,gs,GG,GE,GEO,GG,GEO,GEL,Tbilisi,AS
DE,DEU,D,gw,DL,D,GER,GM,GER,EUR,Berlin,EU
GH,GHA,GHA,gh,GH,GH,GHA,GH,GHA,GHS,Accra,AF
GI,GIB,GIB,gi,GI,GBZ,GBZ,GI,GIB,GIP,Gibraltar,EU
GR,GRC,GRC,gr,GR,GR,GRE,GR,GRE,EUR,Athens,EU
GL,GRL,GRL,gl,GL,DK,GRL,GL,GRL,DKK,Nuuk,NA
GD,GRD,GRD,gd,GD,WG,GRN,GJ,GRN,XCD,St. George's,NA
GP,GLP,GDL,gp,MF,F,GLP,GP,GUD,EUR,Basse-Terre,NA
GU,GUM,GUM,gu,GM,USA,GUM,GQ,GUM,USD,Hagatna,OC
GT,GTM,GTM,gt,GU,GCA,GUA,GT,GUA,GTQ,Guatemala City,NA
GG,GGY,,uik,,GBG,GBG,GK,,GBP,St Peter Port,EU
GN,GIN,GUI,gv,GN,RG,GUI,GV,GUI,GNF,Conakry,AF
GW,GNB,GNB,pg,GW,,GNB,PU,GBS,XOF,Bissau,AF
GY,GUY,GUY,gy,GY,GUY,GUY,GY,GUY,GYD,Georgetown,SA
HT,HTI,HTI,ht,HA,RH,HAI,HA,HAI,USD,Port-au-Prince,NA
HM,HMD,,hm,,AUS,,HM,,,,AN
HN,HND,HND,ho,HO,,HON,HO,HON,HNL,Tegucigalpa,NA
HK,HKG,HKG,,HK,HK,HKG,HK,HKG,,Hong Kong,AS
HU,HUN,HNG,hu,HU,H,HUN,HU,HUN,HUF,Budapest,EU
IS,ISL,ISL,ic,IL,IS,ISL,IC,ISL,ISK,Reykjavik,EU
IN,IND,IND,ii,IN,IND,IND,IN,IND,INR,New Delhi,AS
ID,IDN,INS,io,ID,RI,IDN,ID,INA,IDR,Jakarta,AS
IR,IRN,IRN,ir,IR,IR,IRN,IR,IRI,IRR,Tehran,AS
IQ,IRQ,IRQ,iq,IQ,IRQ,IRQ,IZ,IRQ,IQD,Baghdad,AS
IE,IRL,IRL,ie,IE,IRL,IRL,EI,IRL,EUR,Dublin,EU
IM,IMN,,uik,,GBM,GBM,IM,,GBP,Douglas,EU
IL,ISR,ISR,is,IS,IL,ISR,IS,ISR,ILS,Jerusalem,AS
IT,ITA,I,it,IY,I,ITA,IT,ITA,EUR,Rome,EU
JM,JAM,JMC,jm,JM,JA,JAM,JM,JAM,JMD,Kingston,NA
JP,JPN,J,ja,JP,J,JPN,JA,JPN,JPY,Tokyo,AS
JE,JEY,,uik,,GBJ,GBJ,JE,,GBP,Saint Helier,EU
JO,JOR,JOR,jo,JD,HKJ,JOR,JO,JOR,JOD,Amman,AS
KZ,KAZ,KAZ,kz,KZ,KZ,KAZ,KZ,KAZ,KZT,Astana,AS
KE,KEN,KEN,ke,KN,EAK,KEN,KE,KEN,KES,Nairobi,AF
KI,KIR,KIR,gb,KB,,KIR,KR,KIR,AUD,Tarawa,OC
KW,KWT,KWT,ku,KW,KWT,KUW,KU,KUW,KWD,Kuwait City,AS
KG,KGZ,KGZ,kg,KG,KS,KGZ,KG,KGZ,KGS,Bishkek,AS
LA,LAO,LAO,ls,LA,LAO,LAO,LA,LAO,LAK,Vientiane,AS
LV,LVA,LVA,lv,LV,LV,LVA,LG,LAT,EUR,Riga,EU
LB,LBN,LBN,le,LB,RL,LIB,LE,LIB,LBP,Beirut,AS
LS,LSO,LSO,lo,LS,LS,LES,LT,LES,ZAR,Maseru,AF
LR,LBR,LBR,lb,LI,LB,LBR,LI,LBR,LRD,Monrovia,AF
LY,LBY,LBY,ly,LY,LAR,LBY,LY,LBA,LYD,Tripoli,AF
LI,LIE,LIE,lh,,FL,LIE,LS,LIE,CHF,Vaduz,EU
LT,LTU,LTU,li,LT,LT,LTU,LH,LTU,EUR,Vilnius,EU
LU,LUX,LUX,lu,BX,L,LUX,LU,LUX,EUR,Luxembourg,EU
MO,MAC,MAC,,MU,,MAC,MC,MAC,MOP,Macao,AS
MK,MKD,MKD,xn,MJ,MK,MKD,MK,MKD,MKD,Skopje,EU
MG,MDG,MDG,mg,MG,RM,MAD,MA,MAD,MGA,Antananarivo,AF
MW,MWI,MWI,mw,MW,MW,MWI,MI,MAW,MWK,Lilongwe,AF
MY,MYS,MLA,my,MS,MAL,MAS,MY,MAS,MYR,Kuala Lumpur,AS
MV,MDV,MLD,xc,MV,,MDV,MV,MDV,MVR,Male,AS
ML,MLI,MLI,ml,MI,RMM,MLI,ML,MLI,XOF,Bamako,AF
MT,MLT,MLT,mm,ML,M,MLT,MT,MLT,EUR,Valletta,EU
MH,MHL,MHL,xe,MH,,MHL,RM,MSH,USD,Majuro,OC
MQ,MTQ,MRT,mq,MR,F,MTQ,MB,MRT,EUR,Fort-de-France,NA
MR,MRT,MTN,mu,MT,RIM,MTN,MR,MTN,MRO,Nouakchott,AF
MU,MUS,MAU,mf,MA,MS,MRI,MP,MRI,MUR,Port Louis,AF
YT,MYT,MYT,ot,,,MYT,MF,MAY,EUR,Mamoudzou,AF
MX,MEX,MEX,mx,MX,MEX,MEX,MX,MEX,MXN,Mexico City,NA
FM,FSM,FSM,fm,,,FSM,FM,FSM,USD,Palikir,OC
MD,MDA,MDA,mv,RM,MD,MDA,MD,MDA,MDL,Chisinau,EU
MC,MCO,MCO,mc,,MC,MON,MN,MON,EUR,Monaco,EU
MN,MNG,MNG,mp,MO,MGL,MNG,MG,MGL,MNT,Ulan Bator,AS
ME,MNE,MNE,mo,,MNE,MNE,MJ,MGO,EUR,Podgorica,EU
MS,MSR,MSR,mj,,,MSR,MH,MNT,XCD,Plymouth,NA
MA,MAR,MRC,mr,MC,MA,MAR,MO,MAR,MAD,Rabat,AF
MZ,MOZ,MOZ,mz,MZ,MOC,MOZ,MZ,MOZ,MZN,Maputo,AF
MM,MMR,MYA,br,BM,BUR,MYA,BM,MYA,MMK,Nay Pyi Taw,AS
NA,NAM,NMB,sx,NM,NAM,NAM,WA,NAM,ZAR,Windhoek,AF
NR,NRU,NRU,nu,NW,NAU,NRU,NR,NRU,AUD,Yaren,OC
NP,NPL,NPL,np,NP,NEP,NEP,NP,NEP,NPR,Kathmandu,AS
NL,NLD,HOL,ne,NL,NL,NED,NL,NED,EUR,Amsterdam,EU
NC,NCL,NCL,nl,NC,F,NCL,NC,NCD,XPF,Noumea,OC
NZ,NZL,NZL,nz,NZ,NZ,NZL,NZ,NZL,NZD,Wellington,OC
NI,NIC,NCG,nq,NK,NIC,NCA,NU,NCA,NIO,Managua,NA
NE,NER,NGR,ng,NR,RN,NIG,NG,NIG,XOF,Niamey,AF
NG,NGA,NIG,nr,NI,NGR,NGA,NI,NGR,NGN,Abuja,AF
NU,NIU,NIU,xh,,NZ,NIU,NE,NIU,NZD,Alofi,OC
NF,NFK,NFK,nx,NF,AUS,NFK,NF,NFI,AUD,Kingston,OC
KP,PRK,KRE,kn,KR,,PRK,KN,PRK,KPW,Pyongyang,AS
MP,MNP,MRA,nw,MY,USA,NMI,CQ,NMA,USD,Saipan,OC
NO,NOR,NOR,no,NO,N,NOR,NO,NOR,NOK,Oslo,EU
OM,OMN,OMA,mk,OM,,OMA,MU,OMA,OMR,Muscat,AS
PK,PAK,PAK,pk,PK,PK,PAK,PK,PAK,PKR,Islamabad,AS
PW,PLW,PLW,pw,,,PLW,PS,PLW,USD,Melekeok,OC
PS,PSE,,"gz,wj",,,PLE,"GZ,WE",PLE,,East Jerusalem,AS
PA,PAN,PNR,pn,PM,PA,PAN,PM,PAN,USD,Panama City,NA
PG,PNG,PNG,pp,NG,PNG,PNG,PP,PNG,PGK,Port Moresby,OC
PY,PRY,PRG,py,PY,PY,PAR,PA,PAR,PYG,Asuncion,SA
PE,PER,PRU,pe,PR,PE,PER,PE,PER,PEN,Lima,SA
PH,PHL,PHL,ph,PH,RP,PHI,RP,PHI,PHP,Manila,AS
PN,PCN,PTC,pc,PT,,PCN,PC,,NZD,Adamstown,OC
PL,POL,POL,pl,PL,PL,POL,PL,POL,PLN,Warsaw,EU
PT,PRT,POR,po,PO,P,POR,PO,POR,EUR,Lisbon,EU
PR,PRI,PTR,pr,PU,USA,PUR,RQ,PUR,USD,San Juan,NA
QA,QAT,QAT,qa,QT,Q,QAT,QA,QAT,QAR,Doha,AS
RO,ROU,ROU,rm,RO,RO,ROU,RO,ROU,RON,Bucharest,EU
RU,RUS,RUS,ru,RS,RUS,RUS,RS,RUS,RUB,Moscow,EU
RW,RWA,RRW,rw,RW,RWA,RWA,RW,RWA,RWF,Kigali,AF
RE,REU,REU,re,RE,F,REU,RE,REU,EUR,Saint-Denis,AF
WS,WSM,SMO,ws,ZM,WS,SAM,WS,SAM,WST,Apia,OC
SM,SMR,SMR,sm,,RSM,SMR,SM,SMR,EUR,San Marino,EU
SA,SAU,ARS,su,SD,SA,KSA,SA,KSA,SAR,Riyadh,AS
SN,SEN,SEN,sg,SG,SN,SEN,SG,SEN,XOF,Dakar,AF
RS,SRB,SRB,rb,YG,SRB,SRB,"RI,KV",SRB,RSD,Belgrade,EU
SC,SYC,SEY,se,SC,SY,SEY,SE,SEY,SCR,Victoria,AF
SL,SLE,SRL,sl,SL,WAL,SLE,SL,SLE,SLL,Freetown,AF
SG,SGP,SNG,si,SR,SGP,SIN,SN,SIN,SGD,Singapore,AS
SX,SXM,,sn,,,,NN,,ANG,Philipsburg,NA
SK,SVK,SVK,xo,SQ,SK,SVK,LO,SVK,EUR,Bratislava,EU
SI,SVN,SVN,xv,LJ,SLO,SVN,SI,SLO,EUR,Ljubljana,EU
SB,SLB,SLM,bp,SO,,SOL,BP,SOL,SBD,Honiara,OC
SO,SOM,SOM,so,SI,SO,SOM,SO,SOM,SOS,Mogadishu,AF
ZA,ZAF,AFS,sa,ZA,ZA,RSA,SF,RSA,ZAR,Pretoria,AF
GS,SGS,,xs,,,,SX,,,Grytviken,AN
KR,KOR,KOR,ko,KO,ROK,KOR,KS,KOR,KRW,Seoul,AS
SS,SSD,SSD,sd,,,,OD,,SSP,Juba,AF
ES,ESP,E,sp,SP,E,ESP,SP,ESP,EUR,Madrid,EU
LK,LKA,CLN,ce,SB,CL,SRI,CE,SRI,LKR,Colombo,AS
BL,BLM,,sc,,,,TB,,EUR,Gustavia,NA
SH,SHN,SHN,xj,HE,,SHN,SH,HEL,SHP,Jamestown,AF
KN,KNA,KNA,xd,AT,,SKN,SC,SKN,XCD,Basseterre,NA
LC,LCA,LCA,xk,LC,WL,LCA,ST,LCA,XCD,Castries,NA
MF,MAF,,st,,,,RN,,EUR,Marigot,NA
PM,SPM,SPM,xl,FP,F,SPM,SB,SPM,EUR,Saint-Pierre,NA
VC,VCT,VCT,xm,VG,WV,VIN,VC,VIN,XCD,Kingstown,NA
SD,SDN,SDN,sj,SU,SUD,SUD,SU,SUD,SDG,Khartoum,AF
SR,SUR,SUR,sr,SM,SME,SUR,NS,SUR,SRD,Paramaribo,SA
SJ,SJM,NOR,,SZ,,,"SV,JN",,NOK,Longyearbyen,EU
SZ,SWZ,SWZ,sq,SV,SD,SWZ,WZ,SWZ,SZL,Mbabane,AF
SE,SWE,S,sw,SN,S,SWE,SW,SWE,SEK,Stockholm,EU
CH,CHE,SUI,sz,SW,CH,SUI,SZ,SUI,CHF,Bern,EU
SY,SYR,SYR,sy,SY,SYR,SYR,SY,SYR,SYP,Damascus,AS
ST,STP,STP,sf,TP,,STP,TP,STP,STD,Sao Tome,AF
TW,TWN,,ch,,RC,TPE,TW,TPE,,Taipei,AS
TJ,TJK,TJK,ta,TA,TJ,TJK,TI,TJK,TJS,Dushanbe,AS
TZ,TZA,TZA,tz,TN,EAT,TAN,TZ,TAN,TZS,Dodoma,AF
TH,THA,THA,th,TH,T,THA,TH,THA,THB,Bangkok,AS
TL,TLS,TLS,em,TM,,TLS,TT,TLS,USD,Dili,OC
TG,TGO,TGO,tg,TG,TG,TOG,TO,TOG,XOF,Lome,AF
TK,TKL,TKL,tl,TK,NZ,TKL,TL,,NZD,,OC
TO,TON,TON,to,TO,,TGA,TN,TGA,TOP,Nuku'alofa,OC
TT,TTO,TRD,tr,TD,TT,TRI,TD,TTO,TTD,Port of Spain,NA
TN,TUN,TUN,ti,TS,TN,TUN,TS,TUN,TND,Tunis,AF
TR,TUR,TUR,tu,TU,TR,TUR,TU,TUR,TRY,Ankara,AS
TM,TKM,TKM,tk,TR,TM,TKM,TX,TKM,TMT,Ashgabat,AS
TC,TCA,TCA,tc,TI,,TCA,TK,TKS,USD,Cockburn Town,NA
TV,TUV,TUV,tv,TV,,TUV,TV,TUV,AUD,Funafuti,OC
UM,UMI,,"ji,xf,wk,uc,up",,USA,,"FQ,HQ,DQ,JQ,KQ,MQ,BQ,LQ,WQ",,,,OC
VI,VIR,VIR,vi,VI,USA,VIR,VQ,ISV,USD,Charlotte Amalie,NA
GB,GBR,G,xxk,UK,GB,"ENG,NIR,SCO,WAL",UK,GBR,GBP,London,EU
US,USA,USA,xxu,US,USA,USA,US,USA,USD,Washington,NA
UG,UGA,UGA,ug,UG,EAU,UGA,UG,UGA,UGX,Kampala,AF
UA,UKR,UKR,un,UR,UA,UKR,UP,UKR,UAH,Kiev,EU
AE,ARE,UAE,ts,ER,,UAE,AE,UAE,AED,Abu Dhabi,AS
UY,URY,URG,uy,UY,ROU,URU,UY,URU,UYU,Montevideo,SA
UZ,UZB,UZB,uz,UZ,UZ,UZB,UZ,UZB,UZS,Tashkent,AS
VU,VUT,VUT,nn,NV,,VAN,NH,VAN,VUV,Port Vila,OC
VA,VAT,CVA,vc,,V,VAT,VT,,EUR,Vatican City,EU
VE,VEN,VEN,ve,VN,YV,VEN,VE,VEN,VEF,Caracas,SA
VN,VNM,VTN,vm,VS,VN,VIE,VM,VIE,VND,Hanoi,AS
WF,WLF,WAL,wf,FW,F,WLF,WF,WAF,XPF,Mata Utu,OC
EH,ESH,AOE,ss,,,SAH,WI,,MAD,El-Aaiun,AF
YE,YEM,YEM,ye,YE,YAR,YEM,YM,YEM,YER,Sanaa,AS
ZM,ZMB,ZMB,za,ZB,Z,ZAM,ZA,ZAM,ZMW,Lusaka,AF
ZW,ZWE,ZWE,rh,ZW,ZW,ZIM,ZI,ZIM,ZWL,Harare,AF
AX,ALA,,,,FIN,ALD,,,EUR,Mariehamn,EU
